epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_elapsed,memory_used_mb,batch_time_ms,eta_hours
1,2.228619298995874,16.1951123046875,1.9557299297067183,29.33,0.004591148113092719,20.91639995574951,919.8310546875,40.19375578663981,1.1561060947842068
2,2.1236144483279875,22.09451171875,1.8510074298593062,34.69,0.006350031781886992,36.910595417022705,413.6875,23.500421176703213,0.8655034363269806
3,2.081448869583325,25.1418359375,1.7499520084525966,39.91,0.00923332764130129,52.93415451049805,413.6884765625,23.501723719100223,0.8623595057593452
4,2.054637036384485,26.97763427734375,1.7011994410164748,42.68,0.01317001673688635,68.96084713935852,413.9375,23.469080940222206,0.8577747596634759
5,2.0213240804001926,29.42486083984375,1.6575075146518177,44.37,0.018063133804863574,85.01873302459717,412.6884765625,23.466705895079592,0.8522774577140808
6,1.9884545106095628,31.27962646484375,1.604655644561671,48.09,0.023792155640154758,101.0020809173584,413.6884765625,23.537391290877956,0.8478137709034814
7,1.9747465692769985,32.86053466796875,1.5879577428479739,49.13,0.030215969724101593,117.02012777328491,413.9384765625,23.542072826300185,0.8424645811319351
8,1.8971760326300184,36.74155029296875,1.5140246575391745,53.63,0.037176349991096425,133.25468945503235,412.6884765625,23.46950064832791,0.8409384918212891
9,1.87042420207502,38.60643798828125,1.4041941769515411,58.62,0.04450185412192084,149.28996086120605,413.6884765625,23.52713167476959,0.835653815401925
10,1.8536044195437202,39.8753564453125,1.5220803082743777,54.48,0.052012046368891944,165.31419777870178,413.9375,23.515860493571612,0.8285402576128642
11,1.8079442140012503,41.8054736328125,1.344293250313288,61.95,0.05952194189968639,181.18575072288513,412.6884765625,23.485402329661213,0.8284739184379578
12,1.7711569798259308,43.81984375,1.2460283704950839,66.68,0.0668465631904478,197.22481989860535,413.6884765625,23.510305264506478,0.8216653641064962
13,1.7392715912657424,45.7614404296875,1.2309356505357767,67.74,0.07380549623887817,213.21937823295593,413.9375,23.477377602086662,0.8182900113529629
14,1.7202225908303794,46.8570458984375,1.2170071043545687,69.2,0.08022733437244754,229.32567501068115,412.6884765625,23.479772451967477,0.8169573509693145
15,1.7116512917101192,47.38623291015625,1.1926102321359175,69.71,0.08595390019552071,245.3961319923401,413.6884765625,23.496730639911686,0.8075155284669664
16,1.6539448335909614,50.10035400390625,1.1578029424329348,72.34,0.0908441416838972,261.4276647567749,413.9375,23.484778480407908,0.8046875672870212
17,1.6431520148968926,50.54140625,1.2464087205597116,66.07,0.09477760646139277,277.4598650932312,412.6884765625,23.452262147166095,0.800389297803243
18,1.6505168604012876,50.6229736328125,1.1135033399243899,73.54,0.09765740868296019,293.2140738964081,413.6884765625,23.51054672996838,0.7964208085007137
19,1.6404848087329071,51.19101318359375,1.0592447692834879,75.79,0.09941261544654283,309.29195046424866,413.9375,23.501887489050723,0.7933822650379605
20,1.6050179598811336,52.80617431640625,1.1536098447027086,71.67,0.09999999992226721,325.3002166748047,412.6884765625,23.516246685966518,0.7858601808547974
21,1.6300908612747924,51.6674951171875,1.0671102759204334,74.61,0.099992336052295,341.2042484283447,413.6884765625,23.5142022276077,0.786323623723454
22,1.5865607044567316,53.47470458984375,1.0162055145336102,78.62,0.09996944409339659,356.9393992424011,413.9375,23.519174740337338,0.7779749196105533
23,1.6131747835360395,52.381806640625,1.0067655670491955,79.04,0.09993133101868439,372.90607476234436,412.6884765625,23.54108487455228,0.7710063427686691
24,1.581825150468479,53.82564208984375,1.06055831607384,75.5,0.09987800843777017,388.94331526756287,413.6884765625,23.51989456639884,0.7690350214640299
25,1.5885865905414374,53.5701416015625,1.0115140714222872,78.03,0.09980949259322862,404.6381688117981,413.9384765625,23.542019505851183,0.7629041108820174
26,1.5363928666130042,55.75773681640625,1.0024804110768475,77.84,0.09972580435564972,420.3499267101288,412.6884765625,23.500603227950513,0.7591822576522828
27,1.537598068721759,56.10963134765625,1.0413633698149571,76.55,0.09962696921728136,436.016961812973,413.6884765625,23.502189892168623,0.7528478376070659
28,1.5320457821836868,56.14022216796875,1.0734314254567594,74.87,0.09951301728426408,451.73283338546753,413.9375,23.466185639841488,0.7508297557300991
29,1.5323334456251834,56.023681640625,0.9650400182868861,80.69,0.0993839832674606,467.45391750335693,412.6884765625,23.462739615394664,0.746712481379509
30,1.5292808642021765,56.20142822265625,0.965630218952517,80.03,0.0992399064718824,483.5126645565033,413.6884765625,23.534191302217234,0.7417833493815528
31,1.525375324316299,56.3838232421875,0.9466725512395932,80.47,0.09908083078471712,499.36937069892883,413.9375,23.509168015501366,0.7392301140228907
32,1.5292708936590738,56.17925048828125,0.9076849576793139,82.84,0.09890680466196006,515.0386419296265,412.6884765625,23.56590706700334,0.7311941051483154
33,1.5068399270121662,57.41590087890625,0.9565402593793748,80.6,0.09871788111365405,531.0628607273102,413.6884765625,23.517060203674124,0.7299950239393446
34,1.4854736880372508,58.3040576171875,0.9607792489136322,80.63,0.09851411768774206,546.8211772441864,413.9384765625,23.49416135599057,0.7265957862801022
35,1.5042401912113348,57.4367919921875,0.9425105973135067,81.3,0.09829557645253749,562.5101156234741,412.6884765625,23.548532979556928,0.7190376808245976
36,1.4875394121145669,57.83138427734375,0.9259915661208237,82.5,0.09806232397781767,578.2000167369843,413.6884765625,23.53701728601425,0.7147245709101359
37,1.488862173244976,58.1386474609375,0.8938348051867907,83.29,0.09781443131454597,593.9790239334106,413.9375,23.503965463120334,0.7144006202618282
38,1.4844603946033759,58.429658203125,0.9375530073914347,82.29,0.09755197397322897,610.1758365631104,412.6884765625,23.50447810115144,0.7121726059913636
39,1.4706857101604962,58.55794189453125,0.8938850277586828,84.65,0.09727503190091537,625.8796851634979,413.6884765625,23.522488225382357,0.702273943622907
